,Item_price,CSAT Score,Response_Duration,Tenure_Bucket_Encoded,Agent_Shift_Encoded,Product_category_Encoded,Sub-category_Encoded,channel_name_Encoded,Customer_City_Encoded,Agent_name_Encoded,Supervisor_Encoded,Manager_Encoded
Item_price,1.0,-0.12331951020446995,0.006663858576480181,,-0.009900567709513506,0.2132201058447988,-0.10658409354244078,-0.019123562305707317,-0.0005527845364298392,-0.09974853881345248,-0.029140404163423783,-0.02752525462773439
CSAT Score,-0.12331951020446995,1.0,-0.14514235535930148,,-0.0177513076967357,0.07606435547180272,0.024257042602630653,0.028142631648805018,0.08309788140756419,0.24337754275492196,0.08336412435158318,0.06074577074860619
Response_Duration,0.006663858576480181,-0.14514235535930148,1.0,,0.00899823194993482,-0.20217544197138154,0.0119906753125039,-0.010948034479048857,-0.20621066466139584,-0.035721453787472476,0.004502401827385193,0.024820729330281892
Tenure_Bucket_Encoded,,,,,,,,,,,,
Agent_Shift_Encoded,-0.009900567709513506,-0.0177513076967357,0.00899823194993482,,1.0,-0.0208606890030551,0.016689615055066345,-0.01870195873162553,-0.011284964661026534,-0.07396052815234952,-0.08675241533236003,-0.025687427266705982
Product_category_Encoded,0.2132201058447988,0.07606435547180272,-0.20217544197138154,,-0.0208606890030551,1.0,0.06575972475745809,0.06893121378487745,0.7247266636591476,0.02847895318649272,-0.007938262836948588,-0.044687265475844826
Sub-category_Encoded,-0.10658409354244078,0.024257042602630653,0.0119906753125039,,0.016689615055066345,0.06575972475745809,1.0,0.03386843063616759,0.06056029460079335,0.043148901797896204,0.008399775461073353,0.02563590049833731
channel_name_Encoded,-0.019123562305707317,0.028142631648805018,-0.010948034479048857,,-0.01870195873162553,0.06893121378487745,0.03386843063616759,1.0,0.07680085284031728,-0.015473144764990914,-0.03253957551823062,-0.09392577193853083
Customer_City_Encoded,-0.0005527845364298392,0.08309788140756419,-0.20621066466139584,,-0.011284964661026534,0.7247266636591476,0.06056029460079335,0.07680085284031728,1.0,0.033748691528969005,-0.004402991146869043,-0.04583631576474708
Agent_name_Encoded,-0.09974853881345248,0.24337754275492196,-0.035721453787472476,,-0.07396052815234952,0.02847895318649272,0.043148901797896204,-0.015473144764990914,0.033748691528969005,1.0,0.3374348545340934,0.262997688358064
Supervisor_Encoded,-0.029140404163423783,0.08336412435158318,0.004502401827385193,,-0.08675241533236003,-0.007938262836948588,0.008399775461073353,-0.03253957551823062,-0.004402991146869043,0.3374348545340934,1.0,0.31194185821544435
Manager_Encoded,-0.02752525462773439,0.06074577074860619,0.024820729330281892,,-0.025687427266705982,-0.044687265475844826,0.02563590049833731,-0.09392577193853083,-0.04583631576474708,0.262997688358064,0.31194185821544435,1.0
